"TestID","Category","Module / Page","Test Case","Method","Environment","Status","Observed Result (evidence)","Executed At"
"FUN-020","Functional Testing","Authentication","Login with email & password — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 400 (handled)","2026-08-05T23:35:22.587Z"
"FUN-021","Functional Testing","Authentication","Login with email & password — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] public route -> 200","2026-08-05T23:35:22.587Z"
"FUN-022","Functional Testing","Authentication","Login with email & password — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-023","Functional Testing","Authentication","Login with email & password — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-024","Functional Testing","Authentication","Login with email & password — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-025","Functional Testing","Authentication","Forgot password token issue — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-026","Functional Testing","Authentication","Forgot password token issue — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-027","Functional Testing","Authentication","Forgot password token issue — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-028","Functional Testing","Authentication","Forgot password token issue — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 404 (handled)","2026-08-05T23:35:22.587Z"
"FUN-029","Functional Testing","Authentication","Forgot password token issue — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] public route -> 200","2026-08-05T23:35:22.587Z"
"FUN-030","Functional Testing","Authentication","Forgot password token issue — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-031","Functional Testing","Authentication","Forgot password token issue — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-032","Functional Testing","Authentication","Forgot password token issue — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-033","Functional Testing","Authentication","Reset password with token — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-034","Functional Testing","Authentication","Reset password with token — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] omit token -> 400","2026-08-05T23:35:22.587Z"
"FUN-035","Functional Testing","Authentication","Reset password with token — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 400 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-036","Functional Testing","Authentication","Reset password with token — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 400 (handled)","2026-08-05T23:35:22.587Z"
"FUN-037","Functional Testing","Authentication","Reset password with token — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] public route -> 200","2026-08-05T23:35:22.587Z"
"FUN-038","Functional Testing","Authentication","Reset password with token — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-039","Functional Testing","Authentication","Reset password with token — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-040","Functional Testing","Authentication","Reset password with token — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-041","Functional Testing","Authentication","JWT verification middleware — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-042","Functional Testing","Authentication","JWT verification middleware — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-043","Functional Testing","Authentication","JWT verification middleware — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-044","Functional Testing","Authentication","JWT verification middleware — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-045","Functional Testing","Authentication","JWT verification middleware — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-046","Functional Testing","Authentication","JWT verification middleware — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-047","Functional Testing","Authentication","JWT verification middleware — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-048","Functional Testing","Authentication","JWT verification middleware — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-049","Functional Testing","Authorization","Role-based access control — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-050","Functional Testing","Authorization","Role-based access control — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-051","Functional Testing","Authorization","Role-based access control — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-052","Functional Testing","Authorization","Role-based access control — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-053","Functional Testing","Authorization","Role-based access control — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-054","Functional Testing","Authorization","Role-based access control — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-055","Functional Testing","Authorization","Role-based access control — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-056","Functional Testing","Authorization","Role-based access control — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-057","Functional Testing","Profile","View own profile — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-058","Functional Testing","Profile","View own profile — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-059","Functional Testing","Profile","View own profile — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-060","Functional Testing","Profile","View own profile — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-061","Functional Testing","Profile","View own profile — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-062","Functional Testing","Profile","View own profile — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-063","Functional Testing","Profile","View own profile — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-064","Functional Testing","Profile","View own profile — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-065","Functional Testing","Profile","Update Student profile — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-066","Functional Testing","Profile","Update Student profile — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-067","Functional Testing","Profile","Update Student profile — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-068","Functional Testing","Profile","Update Student profile — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-069","Functional Testing","Profile","Update Student profile — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-070","Functional Testing","Profile","Update Student profile — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-071","Functional Testing","Profile","Update Student profile — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-072","Functional Testing","Profile","Update Student profile — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-073","Functional Testing","Profile","Update Teacher profile — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-074","Functional Testing","Profile","Update Teacher profile — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-075","Functional Testing","Profile","Update Teacher profile — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-076","Functional Testing","Profile","Update Teacher profile — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-077","Functional Testing","Profile","Update Teacher profile — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-078","Functional Testing","Profile","Update Teacher profile — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-079","Functional Testing","Profile","Update Teacher profile — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-080","Functional Testing","Profile","Update Teacher profile — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-081","Functional Testing","Authentication","Duplicate email prevention — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=400 exp=400","2026-08-05T23:35:22.587Z"
"FUN-082","Functional Testing","Authentication","Duplicate email prevention — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=400","2026-08-05T23:35:22.587Z"
"FUN-083","Functional Testing","Authentication","Duplicate email prevention — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 400 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-084","Functional Testing","Authentication","Duplicate email prevention — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 400 (handled)","2026-08-05T23:35:22.587Z"
"FUN-085","Functional Testing","Authentication","Duplicate email prevention — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] public route -> 400","2026-08-05T23:35:22.587Z"
"FUN-086","Functional Testing","Authentication","Duplicate email prevention — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 400,400","2026-08-05T23:35:22.587Z"
"FUN-087","Functional Testing","Authentication","Duplicate email prevention — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=400, body present=true","2026-08-05T23:35:22.587Z"
"FUN-088","Functional Testing","Authentication","Duplicate email prevention — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=400","2026-08-05T23:35:22.587Z"
"FUN-089","Functional Testing","Profile","Avatar auto-generation — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=201 exp=201","2026-08-05T23:35:22.587Z"
"FUN-090","Functional Testing","Profile","Avatar auto-generation — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=201","2026-08-05T23:35:22.587Z"
"FUN-091","Functional Testing","Profile","Avatar auto-generation — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-08-05T23:35:22.587Z"
"FUN-092","Functional Testing","Profile","Avatar auto-generation — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] boundary -> 201 (handled)","2026-08-05T23:35:22.587Z"
"FUN-093","Functional Testing","Profile","Avatar auto-generation — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] public route -> 201","2026-08-05T23:35:22.587Z"
"FUN-094","Functional Testing","Profile","Avatar auto-generation — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 201,400","2026-08-05T23:35:22.587Z"
"FUN-095","Functional Testing","Profile","Avatar auto-generation — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=201, body present=true","2026-08-05T23:35:22.587Z"
"FUN-096","Functional Testing","Profile","Avatar auto-generation — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=201","2026-08-05T23:35:22.587Z"
"FUN-097","Functional Testing","Adaptive Quiz & Assessment","List all teachers — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-098","Functional Testing","Adaptive Quiz & Assessment","List all teachers — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-099","Functional Testing","Adaptive Quiz & Assessment","List all teachers — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-100","Functional Testing","Adaptive Quiz & Assessment","List all teachers — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-101","Functional Testing","Adaptive Quiz & Assessment","List all teachers — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-102","Functional Testing","Adaptive Quiz & Assessment","List all teachers — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-103","Functional Testing","Adaptive Quiz & Assessment","List all teachers — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-104","Functional Testing","Adaptive Quiz & Assessment","List all teachers — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-105","Functional Testing","Adaptive Quiz & Assessment","AI Best-Fit score — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-106","Functional Testing","Adaptive Quiz & Assessment","AI Best-Fit score — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-107","Functional Testing","Adaptive Quiz & Assessment","AI Best-Fit score — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-108","Functional Testing","Adaptive Quiz & Assessment","AI Best-Fit score — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-109","Functional Testing","Adaptive Quiz & Assessment","AI Best-Fit score — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-110","Functional Testing","Adaptive Quiz & Assessment","AI Best-Fit score — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-111","Functional Testing","Adaptive Quiz & Assessment","AI Best-Fit score — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-112","Functional Testing","Adaptive Quiz & Assessment","AI Best-Fit score — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-113","Functional Testing","Adaptive Quiz & Assessment","View teacher detail by id — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-114","Functional Testing","Adaptive Quiz & Assessment","View teacher detail by id — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-115","Functional Testing","Adaptive Quiz & Assessment","View teacher detail by id — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-116","Functional Testing","Adaptive Quiz & Assessment","View teacher detail by id — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-117","Functional Testing","Adaptive Quiz & Assessment","View teacher detail by id — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-118","Functional Testing","Adaptive Quiz & Assessment","View teacher detail by id — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
"FUN-119","Functional Testing","Adaptive Quiz & Assessment","View teacher detail by id — STATUSMSG","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[STATUSMSG] status=200, body present=true","2026-08-05T23:35:22.587Z"
"FUN-120","Functional Testing","Adaptive Quiz & Assessment","View teacher detail by id — SIDEEFFECT","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[SIDEEFFECT] status=200","2026-08-05T23:35:22.587Z"
"FUN-121","Functional Testing","Adaptive Quiz & Assessment","Teacher approval flag — HAPPY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[HAPPY] status=200 exp=200","2026-08-05T23:35:22.587Z"
"FUN-122","Functional Testing","Adaptive Quiz & Assessment","Teacher approval flag — MISSING","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[MISSING] no server-side required-field on this endpoint; status=200","2026-08-05T23:35:22.587Z"
"FUN-123","Functional Testing","Adaptive Quiz & Assessment","Teacher approval flag — BADTYPE","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BADTYPE] junk query params -> 200 (handled gracefully)","2026-08-05T23:35:22.587Z"
"FUN-124","Functional Testing","Adaptive Quiz & Assessment","Teacher approval flag — BOUNDARY","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[BOUNDARY] long query -> 200 (handled)","2026-08-05T23:35:22.587Z"
"FUN-125","Functional Testing","Adaptive Quiz & Assessment","Teacher approval flag — NOAUTH","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[NOAUTH] no token -> 401","2026-08-05T23:35:22.587Z"
"FUN-126","Functional Testing","Adaptive Quiz & Assessment","Teacher approval flag — PERSIST","Automated (live)","Node.js 20+ / Express + Supabase (PostgreSQL)","Pass","[PERSIST] repeat -> 200,200","2026-08-05T23:35:22.587Z"
